Column1,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
103,A.J. Brown,TEN,WR,2,10,0,63,869,5,0,2,0,0,0,0
104,Michael Carter,NYJ,RB,147,639,4,36,325,0,1,0,0,0,0,0
105,Taysom Hill,NOR,QB,70,374,5,4,52,0,0,134,78,978,4,5
106,Van Jefferson,LAR,WR,2,20,0,50,802,6,0,0,0,0,0,0
107,Tyler Boyd,CIN,WR,2,22,0,67,828,5,0,1,0,46,0,0
108,Jameis Winston,NOR,QB,32,166,1,0,0,0,1,161,95,1170,14,3
109,Rashaad Penny,SEA,RB,119,749,6,6,48,0,0,0,0,0,0,0
110,Brandon Aiyuk,SFO,WR,5,17,0,56,826,5,1,0,0,0,0,0
111,Devonta Freeman,BAL,RB,133,576,5,34,190,1,0,0,0,0,0,0
112,Chuba Hubbard,CAR,RB,172,612,5,25,174,1,1,0,0,0,0,0
113,K.J. Osborn,MIN,WR,1,10,0,50,655,7,0,0,0,0,0,0
114,Saquon Barkley,NYG,RB,162,593,2,41,263,2,1,0,0,0,0,0
115,Chase Claypool,PIT,WR,14,96,0,59,860,2,0,0,0,0,0,0
116,Marvin Jones,JAX,WR,0,0,0,73,832,4,0,0,0,0,0,0
117,Marquez Callaway,NOR,WR,0,0,0,46,698,6,0,0,0,0,0,0
118,DeAndre Hopkins,ARI,WR,0,0,0,42,572,8,0,0,0,0,0,0
119,Devontae Booker,NYG,RB,145,593,2,40,268,1,0,0,0,0,0,0
120,A.J. Green,ARI,WR,0,0,0,54,848,3,0,0,0,0,0,0
121,Allen Lazard,GNB,WR,3,32,0,40,513,8,0,0,0,0,0,0
122,Jakobi Meyers,NWE,WR,1,9,0,83,866,2,1,2,0,45,0,0
123,Tim Patrick,DEN,WR,0,0,0,53,734,5,0,0,0,0,0,0
124,Cedrick Wilson Jr.,DAL,WR,2,11,0,45,602,6,0,3,0,88,0,0
125,Rhamondre Stevenson,NWE,RB,133,606,5,14,123,0,1,0,0,0,0,0
126,Chase Edmonds,ARI,RB,116,592,2,43,311,0,1,0,0,0,0,0
127,Clyde Edwards-Helaire,KAN,RB,119,517,4,19,129,2,2,0,0,0,0,0
128,Russell Gage,ATL,WR,0,0,0,66,770,4,2,0,0,0,0,0
129,Elijah Moore,NYJ,WR,5,54,1,43,538,5,0,0,0,0,0,0
130,Mike Davis,ATL,RB,138,503,3,44,259,1,3,0,0,0,0,0
131,Alexander Mattison,MIN,RB,134,491,3,32,228,1,1,0,0,0,0,0
132,Latavius Murray,BAL,RB,119,501,6,10,75,0,0,0,0,0,0,0
133,Jamaal Williams,DET,RB,153,601,3,26,157,0,0,0,0,0,0,0
134,Pat Freiermuth,PIT,TE,0,0,0,60,497,7,1,0,0,0,0,0
135,Courtland Sutton,DEN,WR,0,0,0,58,776,2,0,1,0,16,0,0
136,Robert Woods,LAR,WR,8,46,1,45,556,4,0,0,0,0,0,0
137,Gabriel Davis,BUF,WR,0,0,0,35,549,6,0,0,0,0,0,0
138,Noah Fant,DEN,TE,0,0,0,68,670,4,0,0,0,0,0,0
139,Christian McCaffrey,CAR,RB,99,442,1,37,343,1,0,0,0,0,0,0
140,Miles Sanders,PHI,RB,137,754,0,26,158,0,1,0,0,0,0,0
141,Kenneth Gainwell,PHI,RB,68,291,5,33,253,1,1,0,0,0,0,0
142,Emmanuel Sanders,BUF,WR,2,31,0,42,626,4,0,0,0,0,0,0
143,Trevor Siemian,NOR,QB,9,20,1,0,0,0,1,188,108,1154,11,3
144,Kareem Hunt,CLE,RB,78,386,5,22,174,0,0,0,0,0,0,0
145,Robby Anderson,CAR,WR,3,36,0,53,519,5,0,0,0,0,0,0
146,Tyler Higbee,LAR,TE,0,0,0,61,560,5,0,0,0,0,0,0
147,Cam Newton,CAR,QB,47,230,5,0,0,0,1,126,69,684,4,5
148,Boston Scott,PHI,RB,87,373,7,13,83,0,1,0,0,0,0,0
149,Odell Beckham Jr.,2TM,WR,2,14,0,44,537,5,0,0,0,0,0,0
150,D'Onta Foreman,TEN,RB,133,566,3,9,123,0,1,0,0,0,0,0
151,D'Ernest Johnson,CLE,RB,100,534,3,19,137,0,0,0,0,0,0,0
152,J.D. McKissic,WAS,RB,48,212,2,43,397,2,0,0,0,0,0,0
